channel,total_participations,unique_users,unique_users_named,mapping_pct
beterbabbit,2,2,0,0.00
discordvickers,1,1,1,100.00
77nekro,1,1,1,100.00
yariktrade,1,1,1,100.00
and_ew1,1,1,1,100.00
test,1,1,1,100.00
beatzyonsol,1,1,1,100.00
mastu,1,1,0,0.00
lenag0l0vach_32302,1,1,0,0.00
wallabistyle,1,1,0,0.00
antoinedaniel,1,1,0,0.00
dyrachyio_0753,1,1,0,0.00
wbcclub,1,1,0,0.00
